run_number,step 1 HV,step 2 HV,scrapping,note,,,,
829,12,15,-1,,,,,
830,12,15,-1,,,,,
831,12,15,-1,elog8028,,,,
832,15,18,-1,,,,,
833,15,18,-1,,,,,
834,15,18,-1,,,,,
835,17,20,-1,elog8074,,,,
836,17,20,-1,,,,,
837,12,15,-1,runLog 837,,,,
838,7,10,-1,runLog 838,,,,
839,2,5,-1,runLog 839,,,,
840,0,0,-1,runLog 840,,,,
841,0,0,-1,runLog 841,,,,
842,0,0,-1,runLog 842,,,,
843,17,20,-1,runLog 843,,,,
844,17,20,-1,runLog 844,,,,
845,17,20,-1,runLog 845,,,,
846,17,20,-1,runLog 846,,,,
847,17,20,-1,runLog 847,,,,
848,0,0,-1,runLog 848,,,,
849,0,0,-1,,,,,
850,0,0,-1,,,,,
851,0,0,-1,,,,,
852,0,0,-1,,,,,
853,0,0,-1,,,,,
854,0,0,-1,,,,,
855,0,0,-1,,,,,
856,0,0,-1,,,,,
857,0,0,-1,,,,,
858,0,0,-1,,,,,
859,0,0,-1,,,,,
860,0,0,-1,,,,,
861,0,0,-1,,,,,
862,0,0,-1,,,,,
863,0,0,-1,,,,,
864,0,0,-1,,,,,
865,0,0,-1,,,,,
866,0,0,-1,,,,,
867,0,0,-1,,,,,
868,0,0,-1,,,,,
869,0,0,-1,,,,,
870,0,0,-1,,,,,
871,0,0,-1,,,,,
872,0,0,-1,,,,,
873,0,0,-1,,,,,
874,0,0,-1,,,,,
875,0,0,-1,,,,,
876,0,0,-1,,,,,
877,0,0,-1,,,,,
878,0,0,-1,,,,,
879,0,0,-1,,,,,
880,0,0,-1,,,,,
881,0,0,-1,,,,,
882,0,0,-1,,,,,
883,0,0,-1,,,,,
884,0,0,-1,,,,,
885,0,0,-1,,,,,
886,0,0,-1,,,,,
887,0,0,-1,,,,,
888,0,0,-1,,,,,
889,0,0,-1,,,,,
890,0,0,-1,,,,,
891,0,0,-1,,,,,
892,0,0,-1,,,,,
893,0,0,-1,,,,,
894,0,0,-1,,,,,
895,0,0,-1,,,,,
896,0,0,-1,,,,,
897,0,0,-1,,,,,
898,0,0,-1,,,,,
899,0,0,-1,,,,,
900,0,0,-1,,,,,
901,0,0,-1,,,,,
902,0,0,-1,,,,,
903,0,0,-1,,,,,
904,0,0,-1,,,,,
905,0,0,-1,,,,,
906,0,0,-1,,,,,
907,0,0,-1,,,,,
908,0,0,-1,,,,,
909,0,0,-1,,,,,
910,0,0,-1,,,,,
911,0,0,-1,,,,,
912,0,0,-1,,,,,
913,0,0,-1,,,,,
914,0,0,-1,,,,,
915,0,0,-1,,,,,
916,0,0,-1,,,,,
917,0,0,-1,,,,,
918,0,0,-1,,,,,
919,0,0,-1,,,,,
920,0,0,-1,,,,,
921,0,0,-1,,,,,
922,0,0,-1,,,,,
923,0,0,-1,,,,,
924,0,0,-1,,,,,
